,HomeTeam,FTHG
1,Liverpool,2
2,Arsenal,0
3,Liverpool,1
4,Arsenal,1
5,Liverpool,3
6,Arsenal,3
7,Liverpool,2
8,Arsenal,2
9,Arsenal,3
10,Liverpool,2
11,Arsenal,1
12,Liverpool,4
13,Arsenal,2
14,Liverpool,4
15,Arsenal,3
16,Liverpool,1
17,Arsenal,2
18,Liverpool,3
19,Arsenal,1
20,Liverpool,3
21,Arsenal,0
22,Liverpool,2
23,Arsenal,2
24,Liverpool,3
25,Liverpool,6
26,Arsenal,2
27,Liverpool,1
28,Arsenal,2
29,Arsenal,0
30,Liverpool,2
31,Arsenal,1
32,Liverpool,4
33,Arsenal,3
34,Liverpool,2
35,Liverpool,1
36,Arsenal,2
37,Arsenal,5
38,Liverpool,3
